Title,Year,Score,Title_Category,Runtime,URL
Leprechaun 4 in Space,1996,17, Horror, 1h 38m,https://www.rottentomatoes.com/m/leprechaun_4_in_space
Leprechaun 2,1994,6, Horror, 1h 25m,https://www.rottentomatoes.com/m/leprechaun_2
Leprechaun in the Hood,2000,33, Horror, 1h 31m,https://www.rottentomatoes.com/m/leprechaun-in-the-hood
Leprechaun 3,1995,NR, Horror, 1h 33m,https://www.rottentomatoes.com/m/leprechaun_3
Leprechaun,1993,27, Comedy/Horror, 1h 32m,https://www.rottentomatoes.com/m/leprechaun
Leprechaun: Back 2 tha Hood,2003,20, Horror, 1h 27m,https://www.rottentomatoes.com/m/leprechaun_back_2_tha_hood
Legally Blondes,2009,NR, Comedy, 1h 26m,https://www.rottentomatoes.com/m/legally_blondes
"Legally Blonde 2: Red, White & Blonde",2003,37, Comedy, 1h 34m,https://www.rottentomatoes.com/m/legally_blonde_2_red_white_and_blonde
Legally Blonde,2001,70, Comedy, 1h 36m,https://www.rottentomatoes.com/m/legally_blonde
Insidious: Chapter 3,2015,57, Horror/Mystery and thriller, 1h 37m,https://www.rottentomatoes.com/m/insidious_chapter_3_2015
Insidious: Chapter 2,2013,39, Horror/Mystery and thriller, 1h 45m,https://www.rottentomatoes.com/m/insidious_chapter_2
Insidious,2010,66, Horror/Mystery and thriller, 1h 41m,https://www.rottentomatoes.com/m/insidious
Insidious,2008,NR, Drama, 1h 36m,https://www.rottentomatoes.com/m/insidious_the_movie_2008
Cop-Out,1991,NR, Drama/Crime, 1h 42m,https://www.rottentomatoes.com/m/cop_out-1991
Cop Out,2010,19, Comedy/Drama, 1h 43m,https://www.rottentomatoes.com/m/cop_out
2012: The End,2010,NR, Documentary/Sci fi, 51m,https://www.rottentomatoes.com/m/2012_the_end
2012 Oscar Shorts: Live Action & Animated,2012,100,,,https://www.rottentomatoes.com/m/2012_oscar_shorts_live_action_and_animated
2012: Ice Age,2011,NR, Action/Mystery and thriller, 1h 30m,https://www.rottentomatoes.com/m/2012_ice_age
2012: Mayan Prophecy and the Shift of the Ages,2009,NR, Documentary, 1h 17m,https://www.rottentomatoes.com/m/2012_odyssey_of_time_mayan_prophecy_and_the_shift_of_the_ages
2012: Time for Change,2010,NR, Documentary/Animation, 1h 25m,https://www.rottentomatoes.com/m/2012_time_for_change
2012: Supernova,2009,NR, Sci fi/Action, 1h 30m,https://www.rottentomatoes.com/m/supernova
2012: An Awakening,2009,NR, Documentary/Mystery and thriller, 1h 15m,https://www.rottentomatoes.com/m/2012_an_awakening
Seeking Closure,2010,NR, Sci fi, 1h 30m,https://www.rottentomatoes.com/m/seeking-closure
2012,2009,39, Action/Drama, 2h 38m,https://www.rottentomatoes.com/m/2012
2012: The Odyssey,2007,NR, Documentary, 1h 39m,https://www.rottentomatoes.com/m/2012-the-odyssey
2012: Doomsday,2008,NR, Action/Adventure, 1h 25m,https://www.rottentomatoes.com/m/2012_doomsday
Black Magic for White Boys,2017,80, Comedy, 1h 45m,https://www.rottentomatoes.com/m/black_magic_for_white_boys
Air Strike,2018,0, War/Drama, 1h 37m,https://www.rottentomatoes.com/m/air_strike_2018
Concrete Cowboy,2020,81, Drama, 1h 51m,https://www.rottentomatoes.com/m/concrete_cowboy
Streams in the Desert: Discovering God's Call,2015,NR, Western/Drama, 1h 13m,https://www.rottentomatoes.com/m/streams_in_the_desert_discovering_gods_call
Just Say Yes,2021,NR, Romance/Comedy, 1h 37m,https://www.rottentomatoes.com/m/just_say_yes
Madame Claude,2021,NR, Romance/Biography, 1h 52m,https://www.rottentomatoes.com/m/madame_claude_2021
Sky High,2020,NR, Mystery and thriller/Crime, 2h 1m,https://www.rottentomatoes.com/m/sky_high_2021
Escape From Planet Earth,2013,35, Comedy/Animation, 1h 29m,https://www.rottentomatoes.com/m/escape_from_planet_earth_2013
What Lies Below,2020,53, Mystery and thriller, 1h 27m,https://www.rottentomatoes.com/m/what_lies_below_2020
Coded Bias,2020,100, Documentary, 1h 30m,https://www.rottentomatoes.com/m/coded_bias
What Lies Below,2016,NR, Documentary,,https://www.rottentomatoes.com/m/what_lies_below
Escape from Planet Earth,1967,NR,,,https://www.rottentomatoes.com/m/doomsday-machine
Have You Ever Seen Fireflies?,2021,NR, Comedy, 1h 53m,https://www.rottentomatoes.com/m/have_you_ever_seen_fireflies
Night in Paradise,2020,67, Drama/Crime, 2h 11m,https://www.rottentomatoes.com/m/night_in_paradise
Bob the Builder: Building Sky High!,2016,NR, Kids and family/Adventure, 1h 13m,https://www.rottentomatoes.com/m/bob_the_builder_building_sky_high
Sky High,2012,NR, Adventure/Drama, 1h 5m,https://www.rottentomatoes.com/m/sky_high_2013
As High as the Sky,2013,NR, Comedy/Drama, 1h 30m,https://www.rottentomatoes.com/m/as_high_as_the_sky
Jay Jay the Jet Plane - Soaring Sky High,2001,NR,,,https://www.rottentomatoes.com/m/jay_jay_the_jet_plane_soaring_sky_high
Blown Sky High,1985,NR, Adventure, 1h 40m,https://www.rottentomatoes.com/m/blown_sky_high_1984
Sky High,1922,NR, Western, 1h 12m,https://www.rottentomatoes.com/m/sky_high
No Highway in the Sky,1951,NR, Drama, 1h 38m,https://www.rottentomatoes.com/m/no_highway_in_the_sky
Sky High,2003,NR, Mystery and thriller/Fantasy, 2h 2m,https://www.rottentomatoes.com/m/sky-high-2003
Sky High,2005,73, Kids and family/Comedy, 1h 40m,https://www.rottentomatoes.com/m/1142872-sky_high
A Man Called God,2013,NR, Documentary/Biography, 1h 47m,https://www.rottentomatoes.com/m/a_man_called_god
The Concrete Cowboys,1979,NR, Adventure, 1h 37m,https://www.rottentomatoes.com/m/the_concrete_cowboys
Air Strike,2004,NR, Action, 1h 30m,https://www.rottentomatoes.com/m/air-strike
Il portaborse,1991,NR, Comedy/Drama, 1h 30m,https://www.rottentomatoes.com/m/il-portaborse
Yes Man,2008,46, Comedy, 1h 44m,https://www.rottentomatoes.com/m/yes_man
Twice Upon a Yesterday,1998,29, Comedy/Drama, 1h 35m,https://www.rottentomatoes.com/m/the_man_with_rain_in_his_shoes_1998
White Boy,2017,NR, Documentary/Drama, 1h 22m,https://www.rottentomatoes.com/m/white_boy_2017
White Boy Rick,2018,57, Drama/Biography, 1h 51m,https://www.rottentomatoes.com/m/white_boy_rick
White Black Boy,2012,NR, Documentary,,https://www.rottentomatoes.com/m/sort_hvid_dreng
White Boy,2002,NR, Drama/Crime, 1h 33m,https://www.rottentomatoes.com/m/white_boy
Thunder Force,2021,22, Comedy/Adventure, 1h 47m,https://www.rottentomatoes.com/m/thunder_force
Two Distant Strangers,2020,92, Drama, 29m,https://www.rottentomatoes.com/m/two_distant_strangers
The Stand In,2020,30, Romance, 1h 41m,https://www.rottentomatoes.com/m/the_stand_in_2020
Dear America: Standing in the Light,1999,NR,,,https://www.rottentomatoes.com/m/dear_america_standing_in_the_light
New Gods: Nezha Reborn,2021,NR, Animation/Fantasy, 1h 56m,https://www.rottentomatoes.com/m/new_gods_nezha_reborn
Ghost in the Shell Arise: Border 4 -- Ghost Stands Alone,2014,NR, Sci fi/Action, 58m,https://www.rottentomatoes.com/m/ghost_in_the_shell_arise_border_4_ghost_stands_alone
Uppercase Print,2020,67, Drama, 2h 8m,https://www.rottentomatoes.com/m/uppercase_print
The Soul,2021,NR, Sci fi/Crime, 2h 5m,https://www.rottentomatoes.com/m/the_soul
Why Did You Kill Me?,2021,70, Crime/Documentary, 1h 23m,https://www.rottentomatoes.com/m/why_did_you_kill_me
Dark City Beneath the Beat,2020,100, Documentary,,https://www.rottentomatoes.com/m/dark_city_beneath_the_beat
Ride or Die,2021,71, Mystery and thriller/Romance, 2h 22m,https://www.rottentomatoes.com/m/ride_or_die
The Yin-Yang Master: Dream of Eternity,2021,29, Action/Adventure, 2h 12m,https://www.rottentomatoes.com/m/the_yin_yang_master_dream_of_eternity
Ajeeb Daastaans,2021,100, Romance/Drama, 2h 22m,https://www.rottentomatoes.com/m/ajeeb_daastaans
Arlo the Alligator Boy,2021,82, Comedy/Animation, 1h 30m,https://www.rottentomatoes.com/m/arlo_the_alligator_boy
Barbie in Princess Power,2015,NR, Kids and family/Adventure, 1h 14m,https://www.rottentomatoes.com/m/barbie_in_princess_power_2015
Barbie and the Secret Door,2014,NR, Kids and family/Adventure, 1h 21m,https://www.rottentomatoes.com/m/barbie_and_the_secret_door
Barbie & Her Sisters in a Pony Tale,2013,NR, Kids and family/Animation, 1h 15m,https://www.rottentomatoes.com/m/barbie_and_her_sisters_in_a_pony_tale_2013
Barbie Mariposa & the Fairy Princess,2013,NR, Kids and family/Animation, 1h 20m,https://www.rottentomatoes.com/m/barbie_mariposa_and_the_fairy_princess_2013
Barbie in the Pink Shoes,2013,NR, Kids and family/Animation, 1h 15m,https://www.rottentomatoes.com/m/barbie_in_the_pink_shoes
Barbie in a Mermaid Tale 2,2012,NR, Kids and family/Adventure, 1h 14m,https://www.rottentomatoes.com/m/barbie_in_a_mermaid_tale_2_2012
Barbie Mariposa,2008,NR, Kids and family/Animation, 1h 15m,https://www.rottentomatoes.com/m/barbie_mariposa_and_her_butterfly_fairy_friends
Barbie and the Three Musketeers,2009,NR, Kids and family/Adventure, 1h 21m,https://www.rottentomatoes.com/m/barbie-and-the-three-musketeers
Barbie in A Christmas Carol,2008,NR, Kids and family/Animation, 1h 16m,https://www.rottentomatoes.com/m/barbie_in_a_christmas_carol
Barbie and the Diamond Castle,2008,NR, Kids and family/Adventure, 1h 18m,https://www.rottentomatoes.com/m/barbie_and_the_diamond_castle
Barbie as the Island Princess,2007,NR, Animation/Adventure, 1h 26m,https://www.rottentomatoes.com/m/barbie-as-the-island-princess
The Barbie Diaries,2006,NR, Kids and family/Adventure, 1h 10m,https://www.rottentomatoes.com/m/barbie-diaries
Barbie: Mermaidia,2006,NR, Kids and family/Animation, 1h 25m,https://www.rottentomatoes.com/m/barbie-mermaidia
Barbie in the Nutcracker,2001,20, Kids and family/Animation, 1h 16m,https://www.rottentomatoes.com/m/barbie-in-the-nutcracker
Barbie as the Princess and the Pauper,2004,NR, Kids and family/Fantasy, 1h 25m,https://www.rottentomatoes.com/m/barbie_as_the_princess_and_the_pauper
Barbie and the Magic of Pegasus,2005,NR, Kids and family/Animation, 1h 23m,https://www.rottentomatoes.com/m/barbie_and_the_magic_of_pegasus
Barbie Rapunzel,2002,NR, Kids and family/Animation, 1h 18m,https://www.rottentomatoes.com/m/barbie-as-rapunzel
Barbie of Swan Lake,2003,NR,,,https://www.rottentomatoes.com/m/barbie-of-swan-lake
Ip Man: Kung Fu Master,2019,36, Action/Sports and fitness, 1h 24m,https://www.rottentomatoes.com/m/ip_man_kung_fu_master
The Master,2012,84, Drama, 2h 16m,https://www.rottentomatoes.com/m/the_master_2011
Pokémon: The Mastermind of Mirage Pokémon,2006,NR, Adventure/Fantasy, 45m,https://www.rottentomatoes.com/m/the_mastermind_of_mirage_pokemon
3 Evil Masters,1980,NR, Action/Sports and fitness, 1h 32m,https://www.rottentomatoes.com/m/the-master1980
The Master Race,1944,NR, Drama, 1h 36m,https://www.rottentomatoes.com/m/master_race
Master of the Crimson Armor,2005,31, Action/Romance, 1h 42m,https://www.rottentomatoes.com/m/1154356-promise
The Master of Ballantrae,1953,NR, Adventure, 1h 29m,https://www.rottentomatoes.com/m/master_of_ballantrae
Drunken Master,1978,79, Comedy/Action, 1h 47m,https://www.rottentomatoes.com/m/drunken_master
A Nightmare on Elm Street 4: The Dream Master,1988,52, Horror, 1h 33m,https://www.rottentomatoes.com/m/a_nightmare_on_elm_street_4_the_dream_master
Drunken Master II,1994,84, Comedy/Action, 1h 42m,https://www.rottentomatoes.com/m/legend_of_drunken_master
The Master of Disguise,2002,1, Kids and family/Comedy, 1h 20m,https://www.rottentomatoes.com/m/master_of_disguise
Masters of the Universe,1987,13, Fantasy, 1h 45m,https://www.rottentomatoes.com/m/masters_of_the_universe
Master and Commander: The Far Side of the World,2003,85, Drama/War, 2h 19m,https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world
DMX: Ride or Die,2004,NR,,,https://www.rottentomatoes.com/m/dmx-ride-or-die
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,98, Documentary/Music, 1h 57m,https://www.rottentomatoes.com/m/summer_of_soul
Don't Tell a Soul,2020,69, Mystery and thriller, 1h 24m,https://www.rottentomatoes.com/m/dont_tell_a_soul
The Soul Collector,2019,73, Horror, 1h 40m,https://www.rottentomatoes.com/m/the_soul_collector_2020
The Soul of Success: The Jack Canfield Story,2017,NR, Documentary, 54m,https://www.rottentomatoes.com/m/the_soul_of_success_the_jack_canfield_story
The Soul of Bread,2012,NR, Romance, 1h 54m,https://www.rottentomatoes.com/m/the_soul_of_bread
Soul Surfer,2011,45, Drama, 1h 46m,https://www.rottentomatoes.com/m/soul_surfer
My Soul to Take,2010,10, Horror/Mystery and thriller, 1h 47m,https://www.rottentomatoes.com/m/258
6 Souls,2010,4, Horror/Mystery and thriller, 1h 53m,https://www.rottentomatoes.com/m/6_souls
The Soul of a Man,2003,NR, Documentary, 1h 40m,https://www.rottentomatoes.com/m/the-soul-of-a-man
Cold Souls,2009,75, Comedy/Sci fi, 1h 41m,https://www.rottentomatoes.com/m/cold_souls
The Soul Collector,1999,NR, Drama, 1h 37m,https://www.rottentomatoes.com/m/the-soul-collector
The Souls of Black Girls,2008,NR, Documentary, 49m,https://www.rottentomatoes.com/m/the-souls-of-black-girls
Soul Men,2008,45, Comedy, 1h 40m,https://www.rottentomatoes.com/m/10009635-soul_men
The Soul of Youth,1920,NR, Drama, 1h,https://www.rottentomatoes.com/m/the-soul-of-youth
Soul Plane,2004,18, Comedy, 1h 26m,https://www.rottentomatoes.com/m/soul_plane
The Breaker Upperers,2018,87, Comedy, 1h 30m,https://www.rottentomatoes.com/m/the_breaker_upperers
The Souler Opposite,1997,NR, Romance, 1h 45m,https://www.rottentomatoes.com/m/the_souler_opposite
Concrete Evidence: A Fixer Upper Mystery,2017,NR, Mystery and thriller, 1h 30m,https://www.rottentomatoes.com/m/concrete_evidence_a_fixer_upper_mystery
Framed for Murder: A Fixer Upper Mystery,2017,NR, Drama/Crime, 1h 30m,https://www.rottentomatoes.com/m/fixer_upper_mysteries
The Upper Footage,2013,NR,,,https://www.rottentomatoes.com/m/the_upper_footage
The Fixer Uppers,1935,NR, Comedy, 21m,https://www.rottentomatoes.com/m/the_fixer_uppers
The Upper Crust,1982,NR, Action, 1h 54m,https://www.rottentomatoes.com/m/the_upper_crust_1982
Upperdog,2009,NR, Comedy/Drama, 1h 40m,https://www.rottentomatoes.com/m/upperdog-2009
Stiff Upper Lips,1997,38, Comedy/Drama, 1h 34m,https://www.rottentomatoes.com/m/stiff-upper-lips
Upperworld,1934,NR, Drama/Crime, 1h 12m,https://www.rottentomatoes.com/m/upper_world
Ghost in the Shell: S.A.C. 2nd GIG - Individual Eleven,2006,NR, Sci fi/Action, 2h 42m,https://www.rottentomatoes.com/m/ghost_in_the_shell_stand_alone_complex_2nd_gig_individual_eleven
He Stands in a Desert Counting the Seconds of His Life,1986,NR, Documentary, 2h 30m,https://www.rottentomatoes.com/m/he_stands_in_the_desert_counting_the_seconds_of_his_life
Ghost in the Shell: Stand Alone Complex - The Laughing Man,2005,NR, Sci fi/Adventure, 2h 40m,https://www.rottentomatoes.com/m/ghost-in-the-shell-stand-alone-complex-the-laughing-man
Stand-Ins,1997,NR, Drama, 1h 28m,https://www.rottentomatoes.com/m/standins
The Stand-In,1999,NR, Drama, 1h 40m,https://www.rottentomatoes.com/m/1118829-standin
Stand-In,1937,NR, Comedy, 1h 31m,https://www.rottentomatoes.com/m/1019800-standin
Standing in the Shadows of Motown,2002,91, Documentary, 1h 48m,https://www.rottentomatoes.com/m/standing_in_the_shadows_of_motown
Force on Thunder Mountain,1977,NR, Sci fi, 1h 33m,https://www.rottentomatoes.com/m/force_on_thunder_mountain
Crimson Peak,2015,72, Romance/Horror, 1h 59m,https://www.rottentomatoes.com/m/crimson_peak
Doctor Bello,2012,NR, Drama, 1h 35m,https://www.rottentomatoes.com/m/doctor_bello
Into the Beat,2019,NR, Romance/Drama, 1h 38m,https://www.rottentomatoes.com/m/into_the_beat
Rush: Time Stand Still,2016,80, Documentary, 1h 37m,https://www.rottentomatoes.com/m/rush_time_stand_still
Synchronic,2019,80, Sci fi/Mystery and thriller, 1h 40m,https://www.rottentomatoes.com/m/synchronic
The Zookeeper's Wife,2017,64, Biography/Drama, 2h 5m,https://www.rottentomatoes.com/m/the_zookeepers_wife_2017
Free to Play,2014,NR, Documentary, 1h 15m,https://www.rottentomatoes.com/m/free_to_play
Miss Sloane,2016,76, Drama/Mystery and thriller, 2h 12m,https://www.rottentomatoes.com/m/miss_sloane
Synchronicity,2015,48, Sci fi/Mystery and thriller, 1h 41m,https://www.rottentomatoes.com/m/synchronicity_2016
Tell Me When,2020,NR, Comedy, 1h 35m,https://www.rottentomatoes.com/m/tell_me_when
Homunculus,2021,NR, Drama, 1h 55m,https://www.rottentomatoes.com/m/homunculus_2021
Searching For Sheela,2021,38, Documentary, 58m,https://www.rottentomatoes.com/m/searching_for_sheela
Stowaway,2021,77, Sci fi/Drama, 1h 56m,https://www.rottentomatoes.com/m/stowaway_2021
Stowaway to the Moon,1974,NR, Adventure, 1h 40m,https://www.rottentomatoes.com/m/stowaway_to_the_moon
Stowaways on the Ark,1988,NR, Kids and family/Animation, 1h 36m,https://www.rottentomatoes.com/m/stowaways_on_the_ark
Stowaway in the Sky,1959,NR, Adventure, 1h 22m,https://www.rottentomatoes.com/m/voyage-en-ballon-le-stowaway-in-the-sky
Stowaway,1936,NR, Comedy/Musical, 1h 26m,https://www.rottentomatoes.com/m/1020256-stowaway
Babenco: Tell Me When I Die,2019,80, Documentary, 1h 15m,https://www.rottentomatoes.com/m/babenco_tell_me_when_i_die
Synchronicity,2008,NR, Comedy, 1h 45m,https://www.rottentomatoes.com/m/synchronicity
Rushlights,2012,26, Romance/Drama, 1h 36m,https://www.rottentomatoes.com/m/rushlights
Rush,2013,89, Action/Drama, 2h 3m,https://www.rottentomatoes.com/m/rush_2013
Rush: Time Machine 2011: Live in Cleveland,2011,NR, Documentary, 2h 47m,https://www.rottentomatoes.com/m/rush_time_machine_2011_live_in_cleveland_2011
Premium Rush,2012,74, Action/Mystery and thriller, 1h 31m,https://www.rottentomatoes.com/m/premium_rush
Rush: Beyond the Lighted Stage,2010,90, Documentary/Biography, 1h 47m,https://www.rottentomatoes.com/m/rush_beyond_the_lighted_stage
Rush in Rio,2003,NR,,,https://www.rottentomatoes.com/m/rush-in-rio
August Rush,2007,37, Fantasy/Drama, 1h 53m,https://www.rottentomatoes.com/m/august_rush
Rush Hour 3,2007,18, Comedy/Action, 1h 31m,https://www.rottentomatoes.com/m/rush_hour_3
The Gold Rush,1925,100, Comedy/Adventure, 1h 22m,https://www.rottentomatoes.com/m/the_gold_rush
Rush,1991,71, Drama/Crime, 2h,https://www.rottentomatoes.com/m/rush_1991
Rushmore,1998,90, Comedy, 1h 33m,https://www.rottentomatoes.com/m/rushmore
Fools Rush In,1997,32, Comedy/Drama, 1h 48m,https://www.rottentomatoes.com/m/fools_rush_in
Rush Hour 2,2001,52, Comedy/Action, 1h 30m,https://www.rottentomatoes.com/m/rush_hour_2
Rush Hour,1998,61, Comedy/Action, 1h 38m,https://www.rottentomatoes.com/m/rush_hour
Keeper of the Beat: A Woman's Journey Into the Heart of Drumming,2012,NR, Documentary/Music, 1h 20m,https://www.rottentomatoes.com/m/keeper_of_the_beat_a_womans_journey_into_the_heart_of_drumming
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,97, Anime/Action, 1h 57m,https://www.rottentomatoes.com/m/demon_slayer_kimetsu_no_yaiba_the_movie_mugen_train
August: Osage County,2013,67, Comedy/Drama, 1h 59m,https://www.rottentomatoes.com/m/august_osage_county
Slay the Dragon,2019,100, Documentary, 1h 41m,https://www.rottentomatoes.com/m/slay_the_dragon
Get the Grift,2021,NR, Comedy, 1h 30m,https://www.rottentomatoes.com/m/get_the_grift
Things Heard & Seen,2021,39, Horror/Mystery and thriller, 2h 1m,https://www.rottentomatoes.com/m/things_heard_and_seen
Coming From Insanity,2019,NR, Drama/Crime, 1h 39m,https://www.rottentomatoes.com/m/coming_from_insanity
The Disciple,2020,97, Music/Drama, 2h 7m,https://www.rottentomatoes.com/m/the_disciple_2020
The Mitchells vs. the Machines,2021,98, Kids and family/Comedy, 1h 54m,https://www.rottentomatoes.com/m/the_mitchells_vs_the_machines
Disciples,2014,NR, Horror, 1h 30m,https://www.rottentomatoes.com/m/disciples
Dark Disciple,2014,NR, Mystery and thriller, 1h 30m,https://www.rottentomatoes.com/m/dark_disciple
The Platform,2019,80, Sci fi/Mystery and thriller, 1h 34m,https://www.rottentomatoes.com/m/the_platform
Cleaver Family Reunion,2013,NR, Comedy, 1h 31m,https://www.rottentomatoes.com/m/cleaver_family_reunion_2013
Dolly Parton: A MusiCares Tribute,2021,NR, Documentary/Music, 55m,https://www.rottentomatoes.com/m/dolly_parton_a_musicares_tribute
Easy Money: Life Deluxe,2013,NR, Drama/Crime, 2h 7m,https://www.rottentomatoes.com/m/easy_money_iii_life_deluxe
Easy Money II,2012,50, Drama/Crime, 1h 39m,https://www.rottentomatoes.com/m/easy_money_hard_to_kill
Easy Money,2010,86, Drama/Crime, 1h 59m,https://www.rottentomatoes.com/m/snabba_cash_2012
Family Reunion,1989,NR, Horror, 1h 30m,https://www.rottentomatoes.com/m/family-reunion1979
Family Reunion,1981,NR,,,https://www.rottentomatoes.com/m/1070599-family_reunion
Jeremy's Family Reunion,2005,NR, Comedy, 1h 28m,https://www.rottentomatoes.com/m/jeremys_family_reunion
Family Reunion: A Relative Nightmare,1995,NR, Comedy, 1h 37m,https://www.rottentomatoes.com/m/family-reunion-a-relative-nightmare
Eight Is Enough: A Family Reunion,1987,NR, Comedy/Drama, 1h 36m,https://www.rottentomatoes.com/m/eight-is-enough-a-family-reunion
National Lampoon's Thanksgiving Reunion,2003,NR, Comedy/Other, 1h 36m,https://www.rottentomatoes.com/m/thanksgiving_family_reunion
Addams Family Reunion,1998,NR, Comedy, 1h 32m,https://www.rottentomatoes.com/m/addams_family_reunion
Madea's Family Reunion,2006,26, Comedy, 1h 47m,https://www.rottentomatoes.com/m/madeas_family_reunion
Family Reunion: The Movie,2003,NR,,,https://www.rottentomatoes.com/m/1121686-family_reunion
Serpent,2017,NR, Mystery and thriller, 1h 25m,https://www.rottentomatoes.com/m/serpent_2017
Embrace of the Serpent,2015,96, Drama/Adventure, 2h 3m,https://www.rottentomatoes.com/m/embrace_of_the_serpent
Eyes of the Serpent,1994,NR, Fantasy, 1h 25m,https://www.rottentomatoes.com/m/eyes_of_the_serpent
Sand Serpents,2009,NR, Sci fi/Action, 1h 30m,https://www.rottentomatoes.com/m/sand_serpents
The Winged Serpent,1982,NR, Horror, 1h 33m,https://www.rottentomatoes.com/m/la-vengeance-du-serpent-a-plumes-the-vengeance-of-the-winged-serpent
