Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
The Wedding Guest,2018,44,35,Mystery & thriller,R,1h 34m,https://www.rottentomatoes.com/m/the_wedding_guest,https://resizing.flixster.com/IckCvMwKGYUYi0lmllJubB0T28w=/206x305/v2/https://resizing.flixster.com/v6xdwRE4RU3gvUdvaFJnZ_WN6ok=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzMxMTlhY2Q2LTUwNDctNGNiMi1iOWM2LTMwNGM5YzIzNjkzNS53ZWJw
The Wind,2018,81,50,Western/Horror,R,1h 26m,https://www.rottentomatoes.com/m/the_wind_2019,https://resizing.flixster.com/10_3ihCarn3oVz1P4FUX3OvycwA=/206x305/v2/https://resizing.flixster.com/1U051huHMBkXkLC8uWicVEqYcjQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzM1NGYxNTBmLWFmNjgtNDcyZC1hY2JlLTYzYjQ3MjEyMjU1MS53ZWJw
Carnaval,2021,17,50,Comedy,NR,1h 34m,https://www.rottentomatoes.com/m/carnaval_2021,https://resizing.flixster.com/AQ7nXKCaDEHEhbp8dyHngsg1Ekg=/206x305/v2/https://resizing.flixster.com/6yvShPwq8PjM3AeoyA2w31w15Xo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVlNTBlY2IxLTgzYzctNGU4My04Mzc1LTRlYmVkMDI0YmI0OS5qcGc=
Alan Saldaña: Locked Up,2021,NR,NR,Comedy/Stand-up,NR,49m,https://www.rottentomatoes.com/m/alan_saldana_locked_up,https://resizing.flixster.com/hXC6GOU33PTnLwNWamdN8zzht_o=/206x305/v2/https://resizing.flixster.com/qGpYD6t6l0a9wr01ppbO21vxbwI=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2YwOTZkODlhLTdiODktNDA0ZC05NGIyLWVjNGY4MjM4Zjc1Yi5qcGc=
Dancing Queens,2021,NR,45,Comedy/Drama,NR,1h 51m,https://www.rottentomatoes.com/m/dancing_queens_2021,https://resizing.flixster.com/BaYpfHFmeBt3B5dr72fpp3iPvyM=/206x305/v2/https://resizing.flixster.com/gr-3SIJVucOde5htmhZQPI0S7ns=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzU1M2M3ZDQyLTMwNGYtNDgwMi04NjAxLWYzODA5MTE3NTM4Ny5qcGc=
Queens! Destiny of Dance,2011,NR,NR,Musical,NR,2h 4m,https://www.rottentomatoes.com/m/queens_destiny_of_dance,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Girl with a Gun,2019,NR,NR,Crime/Drama,NR,1h 20m,https://www.rottentomatoes.com/m/girl_with_a_gun,https://resizing.flixster.com/EUVv8Zs8qTvC0B_HrFxs8xiS7cQ=/206x305/v2/https://resizing.flixster.com/aaQc-1dVA_6ndnO6bXVYSVz_M5c=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzkxODFjZGZkLTA4YzItNDVlZC05Y2M3LTk5MDkzNjBhY2QzNC5qcGc=
Breaking Boundaries: The Science Of Our Planet,2021,44,67,Documentary/Nature,NR,1h 13m,https://www.rottentomatoes.com/m/breaking_boundaries_the_science_of_our_planet,https://resizing.flixster.com/HykLG4Ta29CEcw9UqEvvK31Mdi0=/206x305/v2/https://resizing.flixster.com/aoVT9jEDEO9amahyyNgcUV22Pnc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2QzZTZmNjI1LWZlNjYtNDA4MS05NTdhLWFmZjQwYmYzNWQyNS5qcGc=
Sweet River,2020,NR,NR,Horror/Mystery & thriller,NR,1h 42m,https://www.rottentomatoes.com/m/sweet_river,https://resizing.flixster.com/YH47XJfsudGxUFtHaB6Gw4HEhtg=/206x305/v2/https://resizing.flixster.com/NyArxAhS9X25ILbZBp-T7vQu2pw=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzc2OTEyNTViLTI5MDYtNGJlYi1hODA5LTU2YmQzNjAwZjRhYy5wbmc=
Trippin' With the Kandasamys,2021,NR,50,Romance,NR,1h 33m,https://www.rottentomatoes.com/m/trippin_with_the_kandasamys,https://resizing.flixster.com/DE-39sYUv-X5KSLxPUjOe0cjZB8=/206x305/v2/https://resizing.flixster.com/Kpjs6MW4MI407zMFm8qPr_C_G0g=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzFiZWI1ZWMyLWU4NzMtNGVkMy1iM2M0LWM0Y2ZjYTQ1MTExNS5qcGc=
Sweet Thing,2020,89,NR,Drama,NR,1h 31m,https://www.rottentomatoes.com/m/sweet_thing_2021,https://resizing.flixster.com/ZDt2Uo1YHrlzsONKjatO0bwNbm0=/206x305/v2/https://resizing.flixster.com/F8bCRmltP5YBq_hEHtmSEHn_wqQ=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2I3YjdiODA4LTYxYzYtNGYwZC1iNTZjLTYyNjAzYTM1NWM5NC5qcGc=
Sweet Country,2017,96,71,Western/History,R,1h 53m,https://www.rottentomatoes.com/m/sweet_country_2018,https://resizing.flixster.com/b-x1bMV6yKmzQN_Zzn8VaXkmjPQ=/206x305/v2/https://resizing.flixster.com/cWyM9gVlhO4K7r-Y9Ru49zPoVlo=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzA2MmU4NWRmLTViMDEtNDdiNC1hMmNmLTc5MzJjZDYyY2QxZi53ZWJw
Sweet Virginia,2017,79,59,Mystery & thriller/Drama,R,1h 35m,https://www.rottentomatoes.com/m/sweet_virginia_2017,https://resizing.flixster.com/ShSSnqNkZHppWAjWRVKmwqJs17Q=/206x305/v2/https://resizing.flixster.com/yEx-xrbq3Ezh4bf9DfpIDFSsbdI=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2JmZmY1MmEzLWE2ZTEtNGVkYy1iZmIzLTgxZTFiNmE2ZTMyNC53ZWJw
