Title,Year,Critic_score,Audience_score,Title_category,Rating,Runtime,URL,Poster_URL
What Lies Below,2020,53,26,Mystery and thriller,NR,1h 27m,https://www.rottentomatoes.com/m/what_lies_below_2020,https://resizing.flixster.com/4q-4lhyQBTYR_ml0NmBLEY9mM-8=/206x305/v2/https://resizing.flixster.com/Z9BazPXIQNCHWliVXNzO0ccTKFc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzY3NWIxNDNiLTkxZTgtNDZmYS05MjU0LWI3MDA3ZWZkMjNlZi5qcGc=
Coded Bias,2020,100,44,Documentary,NR,1h 30m,https://www.rottentomatoes.com/m/coded_bias,https://resizing.flixster.com/gHVSJYxn07ig4B714jdT6nysPhI=/206x305/v2/https://resizing.flixster.com/C9XqWsmPVpmm_21gz_izYHwFf1A=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2I2MzA3MjE0LWFlN2EtNGE4ZC1hODEwLTM3ZjFkNjRlNDIxYi53ZWJw
What Lies Below,2016,NR,NR,Documentary,NR,,https://www.rottentomatoes.com/m/what_lies_below,https://resizing.flixster.com/R6j4zZkT85p8Em3IQFwt-51_Vw8=/206x305/v2/https://resizing.flixster.com/9GOd-YnYllXUbLwhScjSIDl8Ufc=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzLzVjMDIxNjE3LWY0OWEtNGM1ZS1hYmM2LTA5NDBhODgxOGY5MC53ZWJw
Escape from Planet Earth,1967,NR,5,,NR,,https://www.rottentomatoes.com/m/doomsday-machine,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Have You Ever Seen Fireflies?,2021,NR,83,Comedy,NR,1h 53m,https://www.rottentomatoes.com/m/have_you_ever_seen_fireflies,https://resizing.flixster.com/N6SWpmFJJg5InPIWiIrufCAorsg=/206x305/v2/https://resizing.flixster.com/SHWJUXuSrUs3d4BatV5_DrswWz8=/ems.ZW1zLXByZC1hc3NldHMvbW92aWVzL2ZlNTcwYzRhLWZjY2QtNDliOS1hNDhiLTIyN2UyY2NjYWUzZi5qcGc=
Night in Paradise,2020,67,70,Drama/Crime,NR,2h 11m,https://www.rottentomatoes.com/m/night_in_paradise,https://resizing.flixster.com/g33pwfssE3MhnY4J6ZxAJcp6aDY=/206x305/v2/https://flxt.tmsimg.com/assets/p19532619_p_v13_ab.jpg
Bob the Builder: Building Sky High!,2016,NR,NR,Kids and family/Adventure,NR,1h 13m,https://www.rottentomatoes.com/m/bob_the_builder_building_sky_high,https://resizing.flixster.com/UFsO1DEgAdBydn7OIt0g5OhZRas=/206x305/v2/https://flxt.tmsimg.com/assets/p12556301_p_v10_aa.jpg
Sky High,2012,NR,NR,Adventure/Drama,NR,1h 5m,https://www.rottentomatoes.com/m/sky_high_2013,https://resizing.flixster.com/TxqoS_BzDJB4w1fIdXLjoSgqz-I=/206x305/v2/https://flxt.tmsimg.com/assets/p9869386_p_v8_aa.jpg
As High as the Sky,2013,NR,86,Comedy/Drama,NR,1h 30m,https://www.rottentomatoes.com/m/as_high_as_the_sky,https://resizing.flixster.com/rfse7Xu81BnqJjsDt8UjlPTtjjo=/206x305/v2/https://flxt.tmsimg.com/assets/p9902575_p_v13_aa.jpg
Jay Jay the Jet Plane - Soaring Sky High,2001,NR,NR,,NR,,https://www.rottentomatoes.com/m/jay_jay_the_jet_plane_soaring_sky_high,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
